Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,
Egypt,EGY,MENA,30,130,3.2680120000000001,8,24.640460000000001,35.359540000000003,6.6176769999999996,,25.644259999999999,34.494399999999999,,32.214660000000002,,,31.3065,25.154140000000002,,58.479149999999997,27.094100000000001,
Kenya,KEN,SSA,30,130,1.7290430000000001,10,27.164370000000002,32.835630000000002,31.08428,,29.942820000000001,18.379660000000001,,32.214660000000002,22.12501,,41.836329999999997,38.161270000000002,51.157629999999997,17.559629999999999,21.882470000000001,
Mauritania,MRT,SSA,30,130,2.363677,6,26.123570000000001,33.876429999999999,27.529299999999999,,34.241390000000003,,,32.214660000000002,,,,16.939109999999999,39.177059999999997,,27.962710000000001,
Peru,PER,AME,30,130,2.191163,8,26.406490000000002,33.593510000000002,,,47.137070000000001,34.494399999999999,,32.214660000000002,14.297280000000001,,32.758890000000001,29.94624,,21.512080000000001,31.437139999999999,
Gabon,GAB,SSA,29,135,1.300502,8,26.867180000000001,31.132819999999999,23.974319999999999,,34.241390000000003,34.494399999999999,,32.214660000000002,,,33.485080000000004,25.838719999999999,,19.419609999999999,25.35689,
Bolivia,BOL,AME,28,136,2.9971100000000002,7,23.08474,32.915260000000004,,,38.539949999999997,34.494399999999999,,32.214660000000002,,,32.758890000000001,29.94624,,6.3997659999999996,18.40804,
Iraq,IRQ,MENA,28,136,5.207376,6,19.459900000000001,36.540100000000002,,,47.137070000000001,18.379660000000001,,5.8066740000000001,,,32.758890000000001,17.623699999999999,,45.691800000000001,,
Liberia,LBR,SSA,28,136,2.1609829999999999,8,24.45599,31.54401,37.985109999999999,,25.644259999999999,,,19.109950000000001,,,41.836329999999997,14.885350000000001,27.196490000000001,33.601939999999999,21.013860000000001,
Mali,MLI,SSA,28,136,2.148479,8,24.476489999999998,31.523510000000002,44.885950000000001,,29.942820000000001,,,32.214660000000002,,,32.758890000000001,23.784970000000001,15.215920000000001,27.32451,17.539429999999999,
Pakistan,PAK,AP,28,136,1.7343550000000001,8,25.155660000000001,30.844339999999999,,,21.345700000000001,18.379660000000001,,32.214660000000002,,,32.758890000000001,18.99287,39.177059999999997,31.974460000000001,25.35689,
Mexico,MEX,AME,27,141,1.4854529999999999,8,24.563859999999998,29.436140000000002,,,29.942820000000001,34.494399999999999,,19.109950000000001,20.498470000000001,,23.681450000000002,36.792099999999998,,24.99954,22.751069999999999,
Cameroon,CMR,SSA,26,142,1.6945140000000001,9,23.221,28.779,34.430129999999998,,29.942820000000001,18.379660000000001,,32.214660000000002,,,23.681450000000002,11.46242,39.177059999999997,27.32451,19.27665,
Guatemala,GTM,AME,26,142,1.131141,7,24.144929999999999,27.855070000000001,,,25.644259999999999,18.379660000000001,,32.214660000000002,,,23.681450000000002,26.523309999999999,,27.092020000000002,27.962710000000001,
Guinea,GIN,SSA,26,142,1.6008119999999999,7,23.374669999999998,28.625330000000002,27.529299999999999,,34.241390000000003,,,32.214660000000002,,,23.681450000000002,16.254519999999999,27.196490000000001,,23.619679999999999,
Kyrgyzstan,KGZ,ECA,26,142,2.0912820000000001,7,22.5703,29.4297,,,25.644259999999999,,21.943750000000001,19.109950000000001,,,,20.36204,27.196490000000001,42.436839999999997,26.2255,
Nigeria,NGA,SSA,26,142,1.471689,10,23.58643,28.41357,31.08428,,34.241390000000003,18.379660000000001,,19.109950000000001,30.359369999999998,,32.758890000000001,11.46242,39.177059999999997,14.53717,26.2255,
Papua New Guinea,PNG,AP,26,142,2.5155799999999999,6,21.87445,30.12555,,,34.241390000000003,18.379660000000001,,32.214660000000002,,,32.758890000000001,25.838719999999999,15.215920000000001,,,
Madagascar,MDG,SSA,25,148,1.4513259999999999,7,22.61983,27.38017,27.529299999999999,,29.942820000000001,,,32.214660000000002,,,23.681450000000002,18.30828,27.196490000000001,,18.40804,
Uganda,UGA,SSA,25,148,1.2246840000000001,8,22.991520000000001,27.008479999999999,27.529299999999999,,25.644259999999999,34.494399999999999,,19.109950000000001,,,23.681450000000002,20.36204,27.196490000000001,,18.40804,
Bangladesh,BGD,AP,24,150,1.503636,8,21.534040000000001,26.465959999999999,,,29.942820000000001,18.379660000000001,,19.109950000000001,,,32.758890000000001,12.83159,27.196490000000001,25.46454,23.619679999999999,
Central African Republic,CAF,SSA,24,150,2.0948869999999999,5,20.56439,27.43561,27.529299999999999,,29.942820000000001,,,19.109950000000001,,,,16.939109999999999,27.196490000000001,,,
Paraguay,PRY,AME,24,150,2.2884790000000002,7,20.24689,27.75311,,,34.241390000000003,34.494399999999999,,19.109950000000001,,,26.04158,20.36204,,10.584720000000001,26.2255,
Congo,COG,SSA,23,153,1.6874130000000001,8,20.23264,25.76736,34.430129999999998,,21.345700000000001,18.379660000000001,,19.109950000000001,,,14.604010000000001,18.30828,27.196490000000001,,33.174349999999997,
Eswatini,SWZ,SSA,23,153,4.6559619999999997,5,15.36422,30.63578,23.974319999999999,,21.345700000000001,,,32.214660000000002,,,,36.107520000000001,3.2353480000000001,,,
Iran,IRN,MENA,23,153,2.0241750000000001,7,19.680350000000001,26.319649999999999,,,12.748570000000001,18.379660000000001,,32.214660000000002,,,21.502859999999998,21.731210000000001,,20.349599999999999,34.042960000000001,
Lebanon,LBN,MENA,23,153,1.6905060000000001,6,20.22757,25.77243,,,21.345700000000001,18.379660000000001,,19.109950000000001,,,28.946359999999999,17.623699999999999,,,29.699919999999999,
Chad,TCD,SSA,22,157,3.6320999999999999,6,16.04336,27.95664,27.529299999999999,,17.047129999999999,,,19.109950000000001,,,,10.093249999999999,15.215920000000001,42.669330000000002,,
Honduras,HND,AME,22,157,0.86960289999999996,8,20.57385,23.42615,,,21.345700000000001,18.379660000000001,,19.109950000000001,,,23.681450000000002,23.784970000000001,27.196490000000001,15.23466,23.619679999999999,
Russia,RUS,ECA,22,157,1.479193,7,19.574120000000001,24.425879999999999,,,25.644259999999999,18.379660000000001,14.49912,19.109950000000001,,,23.681450000000002,21.046620000000001,,,31.437139999999999,
Zimbabwe,ZWE,SSA,22,157,0.74397290000000005,9,20.779879999999999,23.220120000000001,17.07349,,21.345700000000001,18.379660000000001,,19.109950000000001,,,23.681450000000002,18.99287,27.196490000000001,27.32451,24.488289999999999,
Guinea Bissau,GNB,SSA,21,161,4.3015020000000002,6,13.945539999999999,28.054459999999999,10.172650000000001,,29.942820000000001,,,19.109950000000001,,,41.836329999999997,19.67745,3.2353480000000001,,,
Mozambique,MOZ,SSA,21,161,1.800395,9,18.047350000000002,23.952649999999998,10.172650000000001,,25.644259999999999,18.379660000000001,,19.109950000000001,,,41.836329999999997,25.154140000000002,15.215920000000001,12.909689999999999,21.882470000000001,
Cambodia,KHM,AP,20,163,3.0448849999999998,7,15.00639,24.99361,,,8.4500089999999997,18.379660000000001,,32.214660000000002,,39.844909999999999,,13.51618,15.215920000000001,,14.065009999999999,
Comoros,COM,SSA,20,163,8.2121279999999999,4,6.5321109999999996,33.467889999999997,0,,,,,45.51793,,,,17.623699999999999,15.215920000000001,,,
Democratic Republic of the Congo,COD,SSA,20,163,1.214099,9,18.008880000000001,21.991119999999999,31.08428,,21.345700000000001,18.379660000000001,,19.109950000000001,,,23.681450000000002,12.14701,27.196490000000001,13.83968,14.93361,
Tajikistan,TJK,ECA,19,166,1.7842340000000001,5,16.07386,21.92614,,,17.047129999999999,,14.49912,19.109950000000001,,,,16.939109999999999,27.196490000000001,,,
Burundi,BDI,SSA,17,167,3.3919480000000002,5,11.43721,22.562799999999999,27.529299999999999,,12.748570000000001,,,19.109950000000001,,,,21.731210000000001,3.2353480000000001,,,
Turkmenistan,TKM,ECA,17,167,0.81293249999999995,5,15.666790000000001,18.333210000000001,,,17.047129999999999,18.379660000000001,14.49912,19.109950000000001,,,,14.20077,,,,
Afghanistan,AFG,AP,16,169,4.2259130000000003,5,9.0695040000000002,22.930499999999999,,,25.644259999999999,,,5.8066740000000001,,,,29.261649999999999,3.2353480000000001,,15.80222,
Haiti,HTI,AME,16,169,2.1675059999999999,6,12.44529,19.55471,,,17.047129999999999,,,19.109950000000001,,,14.604010000000001,22.415800000000001,3.2353480000000001,,21.013860000000001,
Myanmar,MMR,AP,16,169,1.9210469999999999,7,12.84948,19.15052,,,8.4500089999999997,18.379660000000001,,19.109950000000001,,,23.681450000000002,18.30828,3.2353480000000001,,19.27665,
Equatorial Guinea,GNQ,SSA,15,172,2.4622310000000001,5,10.96194,19.038060000000002,3.0627010000000001,,17.047129999999999,18.379660000000001,,19.109950000000001,,,,17.623699999999999,,,,
"Korea, North",PRK,AP,15,172,4.1331439999999997,4,8.2216430000000003,21.778359999999999,,,12.748570000000001,,,5.8066740000000001,,,14.604010000000001,28.577069999999999,,,,
Syria,SYR,MENA,15,172,2.5208080000000002,5,10.865880000000001,19.134119999999999,,,12.748570000000001,18.379660000000001,,5.8066740000000001,,,14.604010000000001,24.469550000000002,,,,
Nicaragua,NIC,AME,14,175,1.4722569999999999,7,11.5855,16.4145,,,17.047129999999999,18.379660000000001,,19.109950000000001,,,14.604010000000001,10.777839999999999,3.2353480000000001,,14.93361,
Sudan,SDN,SSA,14,175,1.935683,8,10.825480000000001,17.174520000000001,17.07349,,8.4500089999999997,18.379660000000001,,19.109950000000001,,,5.5265659999999999,20.36204,0,,24.488289999999999,
Eritrea,ERI,SSA,13,177,5.3524219999999998,5,4.2220269999999998,21.77797,0,,8.4500089999999997,,,32.214660000000002,,,,24.469550000000002,0,,,
Libya,LBY,MENA,13,177,2.6369549999999999,6,8.6753929999999997,17.32461,0,,21.345700000000001,18.379660000000001,,5.8066740000000001,,,14.604010000000001,18.99287,,,,
Yemen,YEM,MENA,13,177,1.8306229999999999,7,9.9977789999999995,16.002220000000001,,,12.748570000000001,18.379660000000001,,5.8066740000000001,,,14.604010000000001,12.83159,3.2353480000000001,23.139569999999999,,
Venezuela,VEN,AME,10,180,1.0103519999999999,8,8.3430219999999995,11.656980000000001,,,8.4500089999999997,18.379660000000001,,5.8066740000000001,15.008889999999999,,6.2527619999999997,8.7240760000000002,,8.4922389999999996,7.9847580000000002,
Somalia,SOM,SSA,9,181,2.2577199999999999,6,5.297339,12.70266,0,,8.4500089999999997,,,19.109950000000001,,,5.5265659999999999,14.885350000000001,3.2353480000000001,,,
South Sudan,SSD,SSA,9,181,2.5632489999999999,5,4.796271,13.20373,6.6176769999999996,,12.748570000000001,,,5.8066740000000001,,,,18.30828,0,,,
